Project,Date,Build,SkippedTests
Activiti_Activiti,2018-02-19 10:18:43,343298757,3
Asana_java-asana,2018-07-23 18:57:23,407291735,1
AxonFramework_AxonFramework,2018-07-18 21:36:49,405555718,1
AxonFramework_AxonFramework,2018-06-12 15:24:50,391321989,2
AxonFramework_AxonFramework,2018-04-18 10:15:34,368073733,1
CESNET_perun,2018-03-16 11:24:48,354271507,1
CESNET_perun,2018-03-15 08:19:03,353711837,1
CESNET_perun,2018-03-13 09:15:07,352738650,1
CESNET_perun,2018-03-09 12:39:40,351285071,1
CESNET_perun,2018-02-06 11:47:19,337972994,1
CESNET_perun,2018-01-26 11:56:26,333687598,1
CESNET_perun,2018-01-23 12:45:26,332279749,1
CESNET_perun,2018-01-22 06:52:17,331680579,1
CESNET_perun,2018-01-19 08:51:36,330714828,1
CESNET_perun,2018-01-12 11:43:09,328080788,1
CESNET_perun,2018-01-12 09:45:22,328044799,1
CloudSlang_cs-actions,2018-08-01 11:20:12,410757812,1
DSpace_DSpace,2018-08-02 16:16:04,411363701,1
DSpace_DSpace,2018-07-31 16:01:55,410399001,1
DSpace_DSpace,2018-06-28 15:57:50,397866889,1
DSpace_DSpace,2018-05-17 16:58:51,380312640,1
DSpace_DSpace,2018-05-16 16:18:03,379799081,1
DSpace_DSpace,2018-05-14 20:35:26,378913124,1
DSpace_DSpace,2018-05-12 18:12:37,378157820,1
DSpace_DSpace,2018-02-22 21:44:47,345001723,3
DSpace_DSpace,2018-02-14 15:34:25,341488809,1
DSpace_DSpace,2018-01-12 22:44:55,328313242,1
HubSpot_jinjava,2018-06-08 22:12:35,389941175,1
HubSpot_jinjava,2018-06-08 22:12:30,389941156,1
authorjapps_zerocode,2018-08-07 16:54:57,413212483,1
authorjapps_zerocode,2018-06-09 16:11:05,390152935,1
authorjapps_zerocode,2018-05-13 16:10:41,378403298,5
authorjapps_zerocode,2018-04-01 10:59:06,360844893,1
fcrepo4_fcrepo4,2018-04-27 12:56:12,372019525,1
fcrepo4_fcrepo4,2018-03-07 16:02:36,350387985,1
fcrepo4_fcrepo4,2018-03-02 23:00:19,348466562,1
geotools_geotools,2018-05-20 12:12:23,381309240,1
google_closure-compiler,2018-07-18 02:02:44,405169835,1
google_closure-compiler,2018-06-15 23:09:08,392935588,1
google_guava,2018-06-12 18:42:06,391406089,1
google_guava,2018-06-12 18:07:29,391392576,2
google_guava,2018-02-27 15:42:09,346836203,1
hhru_nuts-and-bolts,2018-07-13 18:58:43,403688003,1
magefree_mage,2018-07-04 00:00:10,399810722,5
magefree_mage,2018-06-26 01:56:54,396671824,1
magefree_mage,2018-06-26 01:40:42,396670039,4
magefree_mage,2018-06-05 19:40:07,388438316,1
magefree_mage,2018-04-21 00:29:36,369367332,1
magefree_mage,2018-04-21 00:21:43,369365495,1
magefree_mage,2018-04-21 00:11:55,369363821,3
magefree_mage,2018-04-20 16:59:08,369223526,2
magefree_mage,2018-04-14 23:18:47,366638606,1
magefree_mage,2018-01-27 11:50:45,334076797,1
openmicroscopy_bioformats,2018-03-22 18:44:22,357033414,1
openmrs_openmrs-core,2018-07-26 21:45:11,408707175,1
openmrs_openmrs-core,2018-07-20 20:24:10,406408692,1
openmrs_openmrs-core,2018-04-19 02:07:52,368440156,1
openmrs_openmrs-core,2018-03-07 12:10:22,350286288,1
openmrs_openmrs-core,2018-03-02 11:15:19,348188992,1
openmrs_openmrs-core,2018-03-01 12:14:22,347734910,1
openmrs_openmrs-core,2018-01-03 15:35:05,324627439,1
openmrs_openmrs-module-htmlformentry,2018-01-29 12:53:51,334685366,1
openworm_org.geppetto.model.neuroml,2018-02-16 15:19:43,342384771,1
php-coder_mystamps,2018-02-11 23:59:42,340291665,1
resteasy_Resteasy,2018-08-01 19:30:34,410965654,1
resteasy_Resteasy,2018-07-23 18:34:40,407283596,1
resteasy_Resteasy,2018-07-09 19:29:37,401916976,2
resteasy_Resteasy,2018-07-06 10:40:44,400827323,1
resteasy_Resteasy,2018-07-05 14:26:54,400464431,1
resteasy_Resteasy,2018-06-19 09:08:00,394013286,30
resteasy_Resteasy,2018-06-12 21:13:23,391465922,1
resteasy_Resteasy,2018-04-26 14:35:01,371560240,3
saalfeldlab_render,2018-04-18 12:06:49,368114216,1
spotify_docker-client,2018-06-02 13:04:55,387092818,1
spotify_docker-client,2018-06-02 05:42:56,386998226,1
spotify_docker-client,2018-05-20 17:27:37,381374103,1
testmycode_tmc-cli,2018-02-15 12:02:28,341854617,1
testmycode_tmc-cli,2018-02-15 11:30:52,341843263,2
testmycode_tmc-cli,2018-02-13 12:55:46,340934058,1
testmycode_tmc-cli,2018-02-13 12:51:21,340932365,1
testmycode_tmc-cli,2018-02-02 12:18:11,336528511,2
testmycode_tmc-cli,2018-01-26 14:54:44,333755769,1
testmycode_tmc-cli,2018-01-15 13:59:01,329062890,1
thingsboard_thingsboard,2018-05-03 13:31:00,374416628,1
vespa-engine_vespa,2018-02-22 11:20:52,344747592,6
vespa-engine_vespa,2018-02-02 09:48:26,336479298,1
vespa-engine_vespa,2018-01-16 10:19:31,329399334,1
vespa-engine_vespa,2018-01-12 13:31:34,328115799,6
weld_core,2018-04-23 12:31:24,370070022,1
weld_core,2018-04-23 10:28:42,370030062,1
weld_core,2018-04-03 12:45:11,361621847,1
weld_core,2018-03-28 14:09:09,359386944,1
xetorthio_jedis,2018-08-11 18:08:53,410625966,1
xetorthio_jedis,2018-06-20 15:50:41,394625633,1
xetorthio_jedis,2018-04-13 04:25:46,365940424,1
xetorthio_jedis,2018-03-07 17:47:05,350395846,1
